Epoch	Train_Loss	Val_Loss
1	0.073287	0.006622
2	0.006949	0.008150
3	0.006072	0.003392
4	0.003603	0.003336
5	0.004161	0.008717
6	0.002839	0.001805
7	0.002349	0.001843
8	0.002554	0.004685
9	0.002450	0.004400
10	0.000812	0.001834
11	0.000686	0.001708
12	0.000619	0.001383
13	0.000568	0.001349
14	0.000533	0.001338
15	0.000491	0.001150
16	0.000460	0.001039
17	0.000429	0.000898
18	0.000401	0.001149
19	0.000377	0.001034
20	0.000354	0.000708
21	0.000335	0.000680
22	0.000317	0.000755
23	0.000303	0.000542
24	0.000290	0.000492
25	0.000278	0.000446
26	0.000265	0.000454
27	0.000264	0.000460
28	0.000256	0.000325
29	0.000256	0.000339
30	0.000264	0.000324
31	0.000255	0.000306
32	0.000267	0.000283
33	0.000254	0.000240
34	0.000250	0.000276
35	0.000260	0.000196
36	0.000267	0.000180
37	0.000306	0.000168
38	0.000303	0.000192
39	0.000330	0.000226
40	0.000351	0.000168
41	0.000337	0.000143
42	0.000358	0.000222
43	0.000373	0.000181
44	0.000352	0.000153

Final Test Loss: 0.000373
