Epoch	Train_Loss	Val_Loss
1	0.146520	0.010837
2	0.010225	0.006182
3	0.007843	0.001941
4	0.006624	0.002167
5	0.004891	0.003951
6	0.004280	0.007812
7	0.001619	0.001883
8	0.001314	0.001421
9	0.001126	0.001803
10	0.000991	0.001518
11	0.000917	0.001864
12	0.000838	0.001236
13	0.000787	0.001551
14	0.000770	0.001146
15	0.000719	0.001026
16	0.000678	0.000974
17	0.000657	0.001055
18	0.000636	0.001149
19	0.000621	0.000896
20	0.000596	0.001070
21	0.000578	0.000853
22	0.000567	0.001203
23	0.000552	0.000767
24	0.000538	0.000906
25	0.000524	0.001453
26	0.000511	0.000610
27	0.000500	0.000721
28	0.000493	0.000877
29	0.000484	0.000758

Final Test Loss: 0.001631
