Epoch	Train_Loss	Val_Loss
1	0.047875	0.005651
2	0.002618	0.003471
3	0.002702	0.003409
4	0.001888	0.002803
5	0.001780	0.002682
6	0.001528	0.002791
7	0.001359	0.001764
8	0.001458	0.002230
9	0.001140	0.001516
10	0.001041	0.002297
11	0.001021	0.003000
12	0.001072	0.002404
13	0.000345	0.001484
14	0.000202	0.001173
15	0.000162	0.000935
16	0.000139	0.000791
17	0.000125	0.000686
18	0.000114	0.000581
19	0.000107	0.000550
20	0.000100	0.000517
21	0.000095	0.000465
22	0.000092	0.000446
23	0.000088	0.000430
24	0.000085	0.000418
25	0.000082	0.000363
26	0.000080	0.000366
27	0.000078	0.000346
28	0.000075	0.000350
29	0.000074	0.000326
30	0.000072	0.000290
31	0.000071	0.000295
32	0.000070	0.000289
33	0.000068	0.000269
34	0.000067	0.000246
35	0.000066	0.000253
36	0.000066	0.000267
37	0.000065	0.000242
38	0.000064	0.000225
39	0.000064	0.000234
40	0.000063	0.000219
41	0.000062	0.000221
42	0.000062	0.000222
43	0.000061	0.000220

Final Test Loss: 0.000812
