Epoch	Train_Loss	Val_Loss
1	0.144511	0.009639
2	0.014472	0.004354
3	0.012843	0.002491
4	0.009359	0.002885
5	0.005750	0.003424
6	0.005043	0.005207
7	0.002012	0.002730
8	0.001370	0.002131
9	0.001173	0.002185
10	0.001017	0.002043
11	0.000910	0.002225
12	0.000800	0.001589
13	0.000740	0.001932
14	0.000697	0.001531
15	0.000642	0.001291
16	0.000586	0.001251
17	0.000554	0.001268
18	0.000537	0.001123
19	0.000504	0.001197
20	0.000475	0.001264
21	0.000450	0.001018
22	0.000435	0.001121
23	0.000421	0.000803
24	0.000398	0.001180
25	0.000379	0.001153
26	0.000368	0.000637
27	0.000359	0.000855
28	0.000350	0.001032
29	0.000340	0.000939

Final Test Loss: 0.001935
