Epoch	Train_Loss	Val_Loss
1	0.069367	0.004143
2	0.005430	0.005794
3	0.004230	0.002404
4	0.003898	0.002076
5	0.003148	0.001824
6	0.003031	0.003526
7	0.003117	0.004946
8	0.002495	0.002057
9	0.001053	0.002126
10	0.000830	0.001811
11	0.000734	0.001859
12	0.000657	0.001387
13	0.000614	0.001762
14	0.000575	0.001334
15	0.000534	0.001159
16	0.000499	0.001087
17	0.000476	0.001187
18	0.000452	0.000957
19	0.000426	0.000936
20	0.000401	0.000904
21	0.000378	0.000828
22	0.000363	0.000912
23	0.000345	0.000816
24	0.000331	0.000876
25	0.000315	0.000928
26	0.000303	0.000659
27	0.000289	0.000543
28	0.000278	0.000676
29	0.000270	0.000516
30	0.000258	0.000537
31	0.000252	0.000441
32	0.000245	0.000363
33	0.000237	0.000327
34	0.000230	0.000259
35	0.000224	0.000449
36	0.000218	0.000384
37	0.000215	0.000230
38	0.000210	0.000204
39	0.000208	0.000295
40	0.000203	0.000228
41	0.000200	0.000245

Final Test Loss: 0.000535
