Epoch	Train_Loss	Val_Loss
1	0.108218	0.006853
2	0.005270	0.003295
3	0.004942	0.003983
4	0.003767	0.002938
5	0.003467	0.013795
6	0.003247	0.002678
7	0.002939	0.002419
8	0.004628	0.003160
9	0.003675	0.003579
10	0.002882	0.007894
11	0.001203	0.003172
12	0.000918	0.002653
13	0.000720	0.002272
14	0.000576	0.001712
15	0.000508	0.001411
16	0.000464	0.001308
17	0.000436	0.001239
18	0.000411	0.001057
19	0.000396	0.000894
20	0.000380	0.001039
21	0.000365	0.000916
22	0.000353	0.000845
23	0.000343	0.000799
24	0.000332	0.000655
25	0.000325	0.000706
26	0.000319	0.000737
27	0.000314	0.000669

Final Test Loss: 0.002307
